id,name,display_name,partisan,internal,url,classification,notes
97,The Daily Beast,,NA,NA,https://www.thedailybeast.com/,national media,NA
99,The Washington Times,,NA,NA,https://www.washingtontimes.com/,national media,NA
100,Democracy For America,,DEM,NA,https://www.democracyforamerica.com/,PAC,NA
101,Family Research Council,,REP,NA,https://www.frc.org/,501(c)(3),NA
107,Texas Medical Association,,NA,NA,NA,NA,NA
108,NARAL,,NA,NA,https://www.prochoiceamerica.org/,501(c)(3),NA
111,Progressive Change Campaign Committee,,DEM,NA,https://www.boldprogressives.org/,PAC,NA
112,American Conservative Union,,REP,NA,https://www.conservative.org/,PAC,NA
113,Let Freedom Ring,,NA,NA,NA,other political entity,NA
114,U.S. Chamber of Commerce,,REP,NA,https://www.uschamber.com/,lobbying group,NA
115,Health Care for America Now,,DEM,NA,https://www.healthcareforamericanow.org/,501(c)(4),NA
117,Americans United for Change,,DEM,NA,https://www.americansunitedforchange.org/,501(c)(4),NA
118,NGP VAN,,DEM,NA,https://act.ngpvan.com/ngp-van-get-elected.html,consulting company,NA
120,Better Georgia,,DEM,NA,https://bettergeorgia.org/,501(c)(4),NA
123,New York Daily News,,NA,NA,NA,NA,NA
124,NY1,,NA,NA,https://www.ny1.com/nyc/all-boroughs,local media,NA
125,New York Observer,,NA,NA,NA,NA,NA
126,New York Post,,NA,NA,https://nypost.com/,local media,NA
127,Newsday,,NA,NA,https://www.newsday.com/,local media,NA
128,Crain's,,NA,NA,NA,NA,NA
130,Local 1199,,NA,NA,NA,NA,NA
132,NBC News,,NA,NA,https://www.nbcnews.com/,national media,NA
133,CBS News,,NA,NA,https://www.cbsnews.com/,national media,NA
134,New York Times,,NA,NA,https://www.nytimes.com/,national media,NA
135,USA Today,,NA,NA,https://www.usatoday.com/,national media,NA
138,Fox 2 News Detroit,,NA,NA,https://www.fox2detroit.com/,local media,NA
139,Boston Herald,,NA,NA,https://www.bostonherald.com/,local media,NA
143,CNN,,NA,NA,https://www.cnn.com/,national media,NA
144,Northern Plain News,,NA,NA,https://web.archive.org/web/20131111081646/http://npntestfeed.blogspot.com/,local media,NA
145,KATU-TV Portland,,NA,NA,https://katu.com/,local media,NA
146,Human Events,,NA,NA,https://humanevents.com/,national media,NA
147,WXIA-TV,,NA,NA,https://www.11alive.com/,local media,NA
148,Americans for Tax Fairness Action Fund,,NA,NA,https://americansfortaxfairness.org/americans-tax-fairness-action-fund/,501(c)(4),NA
149,FOX News,,NA,NA,https://www.foxnews.com/,national media,NA
150,Alaska AFL-CIO,,DEM,NA,http://www.akaflcio.org/,union,NA
151,Honolulu Civil Beat,,NA,NA,https://www.civilbeat.org/,local media,NA
152,Vanguard Public Affairs,,NA,NA,https://www.linkedin.com/company/vanguard-pa,consulting company,NA
153,Chicago Tribune,,NA,NA,https://www.chicagotribune.com/,local media,NA
154,Citizens for a Strong New Hampshire,,REP,NA,http://www.strongnh.com/,501(c)(4),NA
155,Albuquerque Journal,,NA,NA,https://www.abqjournal.com/,local media,NA
157,Mayday PAC,,DEM,NA,https://mayday.us/,super PAC,NA
158,Civitas Institute,,NA,NA,https://www.nccivitas.org/,501(c)(3),NA
159,Minneapolis Star Tribune,,NA,NA,https://www.startribune.com/,local media,NA
160,Denver Post,,NA,NA,https://www.denverpost.com/,local media,NA
161,TownHall.com,,NA,NA,https://townhall.com/,national media,NA
162,National Mining Association,,NA,NA,https://nma.org/,lobbying group,NA
163,KSN-TV Wichita,,NA,NA,https://www.ksn.com/,local media,NA
164,KOTA-TV Rapid City,,NA,NA,https://www.kotatv.com/,local media,NA
165,KSFY-TV Sioux Falls,,NA,NA,https://www.dakotanewsnow.com/,local media,NA
166,Aberdeen American News,,NA,NA,https://www.aberdeennews.com/,local media,NA
167,Detroit News,,NA,NA,https://www.detroitnews.com/,local media,NA
168,WDIV-TV,,NA,NA,https://www.clickondetroit.com/,local media,NA
170,American Crossroads,,REP,NA,https://www.americancrossroads.org/,super PAC,NA
171,Chicago Sun-Times,,NA,NA,https://chicago.suntimes.com/,local media,NA
173,WKYT-TV,,NA,NA,https://www.wkyt.com/,local media,NA
174,Lexington Herald-Leader,,NA,NA,https://www.kentucky.com/,local media,NA
175,WHAS-TV,,NA,NA,https://www.whas11.com/,local media,NA
176,The Courier-Journal,,NA,NA,https://www.courier-journal.com/,local media,NA
177,Detroit Free Press,,NA,NA,https://www.freep.com/,local media,NA
178,WXYZ-TV (Michigan),,NA,NA,https://www.wxyz.com/,local media,NA
179,Charleston Daily Mail,,NA,NA,https://www.wvgazettemail.com/,local media,NA
181,Arkansas Democratic Party,,DEM,TRUE,https://www.arkdems.org/,party committee,NA
183,Truman National Security Project,,NA,NA,https://www.trumanproject.org/,501(c)(4),NA
185,Daily Kos,,DEM,NA,https://www.dailykos.com/,national media,NA
187,Hawaii News Now,,NA,NA,https://www.hawaiinewsnow.com/,local media,NA
188,The Honolulu Star-Advertiser,,NA,NA,https://www.staradvertiser.com/,local media,NA
190,South Dakota Democratic Party,,DEM,TRUE,https://sddp.org/,party committee,NA
191,The Post and Courier,,NA,NA,https://www.postandcourier.com/,local media,NA
192,WYFF,,NA,NA,https://www.wyff4.com/,local media,NA
193,WACHFox,,NA,NA,https://wach.com/,local media,NA
194,WCIV-TV,,NA,NA,https://abcnews4.com/,local media,NA
195,Fox 5 Atlanta,,NA,NA,https://www.fox5atlanta.com/,local media,NA
196,Morris News Service,,NA,NA,https://www.morris.com/,media company,NA
198,Tea Party Nation,,REP,NA,http://www.teapartynation.com/,other,NA
200,Tea Party Patriots Citizens Fund,,REP,NA,https://www.teapartypatriots.org/,super PAC,NA
201,Asbury Park Press,,NA,NA,https://www.app.com/,local media,NA
204,KWTV-DT Oklahoma City,,NA,NA,https://www.news9.com/,local media,NA
205,KOTV-DT Tulsa,,NA,NA,https://www.newson6.com/,local media,NA
206,Portland Press Herald,,NA,NA,https://www.pressherald.com/,local media,NA
207,Maine Sunday Telegram,,NA,NA,https://www.pressherald.com/,local media,NA
208,Tea Party Express,,REP,NA,http://teapartyexpress.org/,super PAC,NA
209,Citizens United Political Victory Fund,,REP,NA,http://www.cupvf.org/,hybrid PAC,NA
213,Oklahomans for a Conservative Future,,REP,NA,https://www.fec.gov/data/committee/C90014739/?tab=about-committee,PAC,NA
214,Government Integrity Fund,,REP,NA,https://www.fec.gov/data/committee/C00498832/,super PAC,NA
215,The Daily Caller,,NA,NA,https://dailycaller.com/,national media,NA
216,Texas Tribune,,NA,NA,https://www.texastribune.org/,local media,NA
219,"Foundation for Economic Prosperity, Inc.",,NA,NA,https://www.foundationforeconomicprosperity.org/,501(c)(4),NA
221,Port PAC,,REP,NA,https://www.opensecrets.org/political-action-committees-pacs/port-pac/C00626184/summary/2020,PAC,NA
222,Citizens for Responsible Energy Solutions,,REP,NA,https://cresenergy.com/,501(c)(4),NA
223,New Republican PAC,,REP,NA,https://newrepublican.org/,super PAC,NA
226,Legacy Foundation Action Fund,,REP,NA,https://legacyaction.us/,other,NA
227,Taxpayer Association of Oregon PAC,,REP,NA,https://oregonwatchdog.com/stage/whoweare.php,PAC,NA
228,American Heartland,,REP,NA,https://www.opensecrets.org/political-action-committees-pacs/american-heartland-pac/C00548867/summary/2018,super PAC,NA
229,Consumer Energy Alliance,,NA,NA,https://consumerenergyalliance.org/,501(c)(4),NA
230,National Coalition for Safer Roads,,NA,NA,https://ncsrsafety.org/,501(c)(6),NA
232,Liberty Foundation of America,,NA,NA,http://libertyfound.org/,501(c)(3),NA
233,Kaiser Family Foundation,,NA,NA,https://www.kff.org/,research institution,NA
234,Washington Free Beacon,,NA,NA,https://freebeacon.com/,national media,NA
235,Give Arkansas a Raise Now,,NA,NA,https://www.arktla.org/?pg=GARN,other political entity,NA
236,MoveOn,,DEM,NA,https://front.moveon.org/,hybrid PAC,NA
237,Time Warner Cable News North Carolina,,NA,NA,https://spectrumlocalnews.com/nc/triangle-sandhills,local media,NA
238,American Encore,,REP,NA,https://www.americanencore.org/,501(c)(4),NA
239,Lane Grigsby,,REP,NA,https://www.theadvocate.com/baton_rouge/news/politics/elections/article_01185448-f76c-11e9-a85e-533d9a31ef2d.html,other,NA
240,Rosetta Stone,,NA,NA,https://www.facebook.com/people/Rosetta-Stone-Communications/100063923147042/,consulting company,NA
241,WRAL News,,NA,NA,https://www.wral.com/,local media,NA
242,"Lambert, Edwards & Associates",,NA,NA,https://lambert.com/,consulting company,NA
243,American Action Network,,REP,NA,https://americanactionnetwork.org/,other,NA
244,Breitbart News,,NA,NA,https://www.breitbart.com/,national media,NA
245,Kentuckians for Strong Leadership,,REP,NA,https://www.ksl22.com/,super PAC,NA
250,Conservative Intelligence Briefing,,NA,NA,http://conservativeintel.com/,national media,NA
328,The Illinois Observer,,NA,NA,https://observer.com/location/illinois/,local media,NA
253,"International Association of Sheet Metal, Air, Rail and Transportation Workers",,DEM,NA,https://smart-union.org/contact-us/,union,NA
254,"American Federation of State, County and Municipal Employees",,DEM,NA,https://www.afscme.org/,union,NA
255,Senate Conservatives Fund,,REP,NA,https://www.senateconservatives.com/,PAC,NA
256,The Tea Party Leadership Fund,,REP,NA,https://justfacts.votesmart.org/interest-group/2203/the-tea-party-leadership-fund,hybrid PAC,NA
258,RunSwitch Public Relations,,NA,NA,https://www.runswitchpr.com/,consulting company,NA
259,Priorities for Iowa,,REP,NA,https://www.prioritiesforiowa.com/,super PAC,NA
260,Bangor Daily News,,NA,NA,https://bangordailynews.com/,local media,NA
261,Minnesota Republican Party,,REP,TRUE,https://www.mngop.org/,party committee,NA
262,Susan B. Anthony List,,REP,NA,https://sbaprolife.org/,501(c)(4),NA
263,WRBL News 3,,NA,NA,https://www.wrbl.com/,local media,NA
264,Columbus Ledger-Enquirer,,NA,NA,https://www.ledger-enquirer.com/,local media,NA
265,PMB Broadcasting,,NA,NA,https://pmbsites.com/,local media,NA
267,Put Alaska First,,DEM,NA,http://www.alaskafirst.org/,super PAC,NA
268,Two Peninsulas Research Group,,DEM,NA,http://www.twopeninsulasresearchgroup.com/,501(c)(4),NA
269,Morning Call,,NA,NA,https://www.mcall.com/,local media,NA
270,Maryland Republican Party,,REP,TRUE,https://mdgop.org/,party committee,NA
275,South Carolina Democratic Party,,DEM,TRUE,https://scdp.org/,party committee,NA
276,Wall Street Journal,,NA,NA,https://www.wsj.com/,national media,NA
278,UMass Amherst,,NA,NA,https://polsci.umass.edu/research/umass-poll,research institution,NA
280,Wisconsin Public Radio,,NA,NA,https://www.wpr.org/,local media,NA
282,American Future Fund,,REP,NA,https://americanfuturefund.com/,501(c)(4),NA
283,Let's Get to Work,,REP,NA,https://letsgettowork.net/,PAC,NA
284,Bay News 9,,NA,NA,https://www.baynews9.com/fl/tampa,local media,NA
285,Tampa Bay Times,,NA,NA,https://www.tampabay.com/,local media,NA
286,News Service of Florida,,NA,NA,https://www.newsserviceflorida.com/,local media,NA
287,Illinois Education Association,,NA,NA,https://ieanea.org/,union,NA
288,Resch Strategies,,NA,NA,https://www.reschstrategies.com/,consulting company,NA
289,Liberty Principles PAC,,REP,NA,https://libertyprinciples.com/,super PAC,NA
291,Ohio Democratic Party,,DEM,TRUE,https://ohiodems.org/,party committee,NA
292,Restore Arizona's Future PAC,,DEM,NA,NA,hybrid PAC,NA
293,WCMH-TV Columbus,,NA,NA,https://www.nbc4i.com/,local media,NA
295,Maine Conservation Voters Action Fund,,DEM,NA,https://www.maineconservation.org/pac,PAC,NA
298,WPRI-TV,,NA,NA,https://www.wpri.com/,local media,NA
300,LA Times,,NA,NA,https://www.latimes.com/,local media,NA
301,USC,,NA,NA,https://www.usc.edu/,research institution,NA
302,WGBH News,,NA,NA,https://www.wgbh.org/news/,local media,NA
304,Center for American Progress Action Fund,,DEM,NA,https://www.americanprogressaction.org/,501(c)(4),NA
305,Progress Now Arizona,,DEM,NA,https://www.progressarizona.org/,501(c)(4),NA
308,Arizona Free Enterprise Club,,REP,NA,https://azfree.org/,501(c)(4),NA
309,Reboot Illinois,,NA,NA,http://www.rebootillinois.com/,local media,NA
312,Maine Forward PAC,,DEM,NA,https://mainecampaignfinance.com/#/exploreCommitteeDetail/4774,PAC,NA
313,Michigan Democratic Party,,DEM,TRUE,https://michigandems.com/,party committee,NA
314,The Strategy Network,,NA,NA,https://www.facebook.com/people/The-Strategy-Network/100063647948096/,consulting company,NA
315,"Maryland, My Maryland PAC",,REP,NA,https://opencorporates.com/companies/us_md/D16068645,super PAC,NA
316,Progress Iowa,,DEM,NA,https://progressiowa.org/,501(c)(4),NA
317,Baltimore Sun,,NA,NA,https://www.baltimoresun.com/,local media,NA
318,KeystoneReport.com,,NA,NA,https://keystonereport.com/,local media,NA
319,Capitol Fax,,NA,NA,https://capitolfax.com/,local media,NA
320,Telemundo,,NA,NA,https://www.telemundo.com/,national media,NA
321,Leadership Florida,,NA,NA,https://www.leadershipflorida.org/,501(c)(3),NA
322,Florida Press Association,,NA,NA,https://flpress.com/,501(c)(6),NA
323,WBZ-TV,,NA,NA,https://boston.cbslocal.com/,local media,NA
329,The Oregonian,,NA,NA,https://www.oregonlive.com/,local media,NA
330,KGW-TV,,NA,NA,https://www.kgw.com/,local media,NA
331,Wisconsin Democratic Party,,DEM,TRUE,https://wisdems.org/,party committee,NA
332,Argus Leader,,NA,NA,https://www.argusleader.com/,local media,NA
333,KELO-TV,,NA,NA,https://www.keloland.com/,local media,NA
334,Republican Attorneys General Association,,REP,TRUE,https://republicanags.com/,party committee,NA
336,Fox 8 (WVUE),,NA,NA,https://www.fox8live.com/,local media,NA
337,Raycom Media,,NA,NA,https://en.wikipedia.org/wiki/Raycom_Media,media company,NA
338,Progress Michigan,,DEM,NA,https://progressmichigan.org/,501(c)(4),NA
339,Casper Star-Tribune,,NA,NA,https://trib.com/,local media,NA
344,Independent Women's Voice,,NA,NA,https://www.iwv.org/,501(c)(4),NA
347,Wisconsin Policy Research Institute (WPRI),,NA,NA,https://www.badgerinstitute.org/BI.htm,501(c)(3),NA
348,Human Rights First,,NA,NA,https://www.humanrightsfirst.org/,501(c)(3),NA
349,Howie Carr,,REP,NA,https://en.wikipedia.org/wiki/Howie_Carr,other,NA
352,Economist,,NA,NA,https://www.economist.com/,national media,NA
353,Saint Anselm College,,NA,NA,https://www.anselm.edu/,research institution,NA
354,Hendrix College,,NA,NA,https://www.hendrix.edu/,research institution,NA
355,Iowa Renewable Fuels Association,,NA,NA,https://iowarfa.org/,501(c)(3),NA
356,Monmouth College,,NA,NA,https://www.monmouthcollege.edu/,research institution,NA
357,KBUR,,NA,NA,https://www.kbur.com/,local media,NA
358,One America News Network,,REP,NA,https://www.oann.com/,national media,NA
360,McClatchy Newspapers,,NA,NA,https://www.mcclatchy.com/,media company,NA
361,University of Akron,,NA,NA,https://www.uakron.edu/,research institution,NA
362,Florida Times-Union,,NA,NA,https://www.jacksonville.com/,local media,NA
363,FOX 13 Tampa Bay,,NA,NA,https://www.fox13news.com/,local media,NA
364,FOX35 Orlando,,NA,NA,https://www.fox35orlando.com/,local media,NA
365,FOX26 Houston,,NA,NA,https://www.fox26houston.com/,local media,NA
366,FOX7 Austin,,NA,NA,https://www.fox7austin.com/,local media,NA
367,Fox4 Dallas-Fort-Worth,,NA,NA,https://www.fox4news.com/,local media,NA
368,Amarillo Globe-News,,NA,NA,https://www.amarillo.com/,local media,NA
369,Lubbock Avalanche-Journal,,NA,NA,https://www.lubbockonline.com/,local media,NA
370,Southern Political Report,,NA,NA,https://www.southernpoliticalreport.com/,local media,NA
371,Log Cabin Democrat,,NA,NA,https://www.thecabin.net/,local media,NA
372,Hayride,,NA,NA,https://thehayride.com/,local media,NA
373,NPR,,NA,NA,https://www.npr.org/,national media,NA
374,MSNBC,,NA,NA,https://www.msnbc.com/,national media,NA
375,Investor's Business Daily,,NA,NA,https://www.investors.com/,national media,NA
376,The Advocate,,NA,NA,https://www.theadvocate.com/,local media,NA
378,The Washington Post,,NA,NA,https://www.washingtonpost.com/,national media,NA
379,ABC News,,NA,NA,https://abcnews.go.com/,national media,NA
380,Newsweek,,NA,NA,https://www.newsweek.com/,national media,NA
382,Time,,NA,NA,https://time.com/,national media,NA
383,Wisconsin Public Television,,NA,NA,https://pbswisconsin.org/,local media,NA
384,KTVT-CBS 11,,NA,NA,https://dfw.cbslocal.com/,local media,NA
385,News 13,,NA,NA,https://www.mynews13.com/fl/orlando,local media,NA
388,The Oklahoman,,NA,NA,https://www.oklahoman.com/,local media,NA
389,NH1,,NA,NA,https://publicfiles.fcc.gov/tv-profile/WWJE-DT,local media,NA
391,Partnership for a New American Economy,,NA,NA,https://www.newamericaneconomy.org/,501(c)(3),NA
392,Campaign for Sustainable Rx Pricing,,NA,NA,https://www.csrxp.org/,501(c)(6),NA
393,University of Maryland,,NA,NA,https://www.umd.edu/,research institution,NA
394,Burning Glass Consulting,,NA,NA,http://burningglassconsulting.com/,consulting company,NA
395,WHO-HD,,NA,NA,https://who13.com/,local media,NA
397,Facebook,,NA,NA,http://www.facebook.com,other,NA
398,AP,,NA,NA,https://www.ap.org/,national media,NA
400,Deseret News,,NA,NA,https://www.deseret.com/,local media,NA
402,National Journal,,NA,NA,https://www.nationaljournal.com/,national media,NA
403,WSOC-TV,,NA,NA,NA,local media,NA
404,Wood Communications Group,,NA,NA,http://www.wcgpr.com/,consulting company,NA
405,United Transportation Union,,DEM,NA,https://en.wikipedia.org/wiki/United_Transportation_Union,union,NA
407,University of Massachusetts - Lowell,,NA,NA,https://www.uml.edu/,research institution,NA
408,Public Strategy Associates,,NA,NA,https://www.cygn.al/public-strategy-associates-transition-forms-cygnal-for-communication-campaign-services/,consulting company,NA
410,Faith Horizon,,NA,NA,https://opencorporates.com/companies/us_ca/C2230910,501(c)(3),NA
411,Downs Center,,NA,NA,https://www.mikedownscenter.org/,research institution,NA
414,America Leads,,REP,NA,https://ballotpedia.org/America_Leads,super PAC,NA
415,Believe Again PAC,,REP,NA,https://web.archive.org/web/20150625203834/http://www.believeagain.gop/,super PAC,NA
416,WorldNetDaily,,NA,NA,https://www.wnd.com/,national media,NA
418,Zions Bank,,NA,NA,https://www.zionsbank.com/,corporation,NA
421,Missouri Scout,,NA,NA,https://moscout.com/,local media,NA
430,Hinckley Institute of Politics,,NA,NA,https://www.hinckley.utah.edu/,research institution,NA
431,The Salt Lake Tribune,,NA,NA,https://www.sltrib.com/,local media,NA
432,Insider Advantage,,NA,NA,https://insideradvantage.com/,local media,NA
435,South Carolina New Democrats,,DEM,NA,NA,other political entity,NA
436,News 12,,NA,NA,https://longisland.news12.com/,local media,NA
437,WWNY-7 News,,NA,NA,https://www.wwnytv.com/,local media,NA
438,Time Warner Cable News,,NA,NA,https://spectrumlocalnews.com/splash,media company,NA
443,KGTV-TV (California),,NA,NA,https://www.10news.com/,local media,NA
447,House Majority PAC,,DEM,NA,https://www.thehousemajoritypac.com/,hybrid PAC,NA
448,KPIX-TV (California),,NA,NA,https://sanfrancisco.cbslocal.com/,local media,NA
450,Arkansas Republican Party,,REP,TRUE,https://www.arkansasgop.org/,party committee,NA
451,DCCC,,DEM,TRUE,https://dccc.org/,party committee,NA
452,NRCC,,REP,TRUE,https://www.nrcc.org/,party committee,NA
457,American Unity PAC,,REP,NA,https://www.americanunitypac.com/,super PAC,NA
458,Franklin Pierce University,,NA,NA,https://www.franklinpierce.edu/academics/colleges-centers/fitzwater-center/polling.html,research institution,NA
460,Red Racing Horses,,NA,NA,https://rrhelections.com/,national media,NA
462,Inside Michigan Politics,,NA,NA,https://www.insidemichiganpolitics.com/,local media,NA
463,New Majority for MA PAC,,REP,NA,https://docquery.fec.gov/cgi-bin/fecimg/?C00562108,super PAC,NA
466,Arthur N. Rupe Foundation,,NA,NA,https://rupefoundation.org/,501(c)(3),NA
467,Reason Magazine,,NA,NA,https://reason.com/,national media,NA
469,Huffington Post,,NA,NA,https://www.huffpost.com/,national media,NA
470,The Madison Coalition,,REP,NA,https://madisoncoalitionupdate.org/,lobbying group,NA
471,Democracy Corps,,DEM,NA,https://democracycorps.com/,501(c)(4),NA
472,Resurgent Republic,,REP,NA,http://www.resurgentrepublic.com/,501(c)(4),NA
473,American Family Voices,,DEM,NA,https://www.americanfamilyvoices.org/,501(c)(4),NA
475,Vermont Public Radio,,NA,NA,https://www.vpr.org/,local media,NA
476,Houston Public Media,,NA,NA,https://www.houstonpublicmedia.org/,local media,NA
478,TEGNA,,NA,NA,https://www.tegna.com/,media company,NA
480,WABE 90.1,,NA,NA,https://www.wabe.org/,local media,NA
481,SC House Republican Caucus,,REP,TRUE,https://web.archive.org/web/20170611050227/http://schousegop.org/,party committee,NA
482,Y'all Politics,,NA,NA,https://yallpolitics.com/,local media,NA
483,Our Principles PAC,,REP,NA,https://ballotpedia.org/Our_Principles_PAC,super PAC,NA
484,IdahoPoliticsWeekly.com,,NA,NA,http://web.archive.org/web/20190409103513/https://idahopoliticsweekly.com/,local media,NA
487,Christian Ulvert,,DEM,NA,https://twitter.com/culvert,other,NA
491,The Ledger,,NA,NA,https://www.theledger.com/,local media,NA
492,10 News WTSP,,NA,NA,https://www.wtsp.com/,local media,NA
493,University of Baltimore,,NA,NA,http://www.ubalt.edu/,research institution,NA
495,Missouri Newspapers,,NA,NA,NA,local media,NA
497,Landslide Communications Inc.,,REP,NA,http://www.landslidecommunications.com/,consulting company,NA
500,West Virginia Veterans,,NA,NA,NA,501(c)(4),NA
501,Arizona State,,NA,NA,https://www.asu.edu/,research institution,NA
502,KSL-TV,,NA,NA,https://www.ksl.com/,local media,NA
503,Fox 10 Phoenix,,NA,NA,https://www.fox10phoenix.com/,local media,NA
507,The Atlantic,,NA,NA,https://www.theatlantic.com/,national media,NA
508,George Washington University,,NA,NA,https://www.gwu.edu/,research institution,NA
512,George Fine Research Firm,,NA,NA,NA,NA,NA
515,NBC 4 New York,,NA,NA,https://www.nbcnewyork.com/,local media,NA
516,U.S. News & World Report,,NA,NA,https://www.usnews.com/,national media,NA
520,Christian Science Monitor,,NA,NA,NA,national media,NA
521,Reid,,NA,NA,NA,NA,NA
522,Beliefnet,,NA,NA,NA,NA,NA
525,WNBC,,NA,NA,https://www.nbcnewyork.com/,local media,NA
527,Allstate,,NA,NA,https://www.allstate.com/,corporation,NA
528,Voter Participation Center,,NA,NA,https://www.voterparticipation.org/,501(c)(3),NA
530,WAMU,,NA,NA,https://wamu.org/,local media,NA
531,Washington Informer,,NA,NA,https://www.washingtoninformer.com/,local media,NA
532,Hartford Courant,,NA,NA,https://www.courant.com/,local media,NA
533,University of Connecticut,,NA,NA,https://uconn.edu/,research institution,NA
534,MassLive.com,,NA,NA,https://www.masslive.com/,local media,NA
535,WSHM,,NA,NA,https://www.westernmassnews.com/,local media,NA
536,The New Republic,,NA,NA,https://newrepublic.com/,national media,NA
537,Service Employees International Union,,DEM,NA,https://www.seiu.org/,union,NA
538,Politico,,NA,NA,https://www.politico.com/,national media,NA
540,Gannett,,NA,NA,https://www.linkedin.com/company/gannett-nj,local media,NA
541,Qualcomm,,NA,NA,https://www.qualcomm.com/home,corporation,NA
542,Reno Gazette-Journal,,NA,NA,https://www.rgj.com/,local media,NA
543,Third Way,,NA,NA,https://www.thirdway.org/,501(c)(4),NA
544,St Louis Post-Dispatch,,NA,NA,https://www.stltoday.com/,local media,NA
545,Las Vegas Review-Journal,,NA,NA,https://www.reviewjournal.com/,local media,NA
546,Pew Economic Policy Group,,NA,NA,NA,research institution,NA
547,Diageo,,NA,NA,https://www.diageo.com/en,media company,NA
548,Hotline,,NA,NA,NA,national media,NA
549,Campaign for America's Future,,DEM,NA,https://campaignforamericasfuture.org/,501(c)(4),NA
550,PoliticsPA,,NA,NA,https://www.politicspa.com/,local media,NA
551,United Faculty of Miami Dade College,,NA,NA,https://www.ufmdc.org/,union,NA
552,Robert Wood Johnson Foundation,,NA,NA,https://www.rwjf.org/,501(c)(3),NA
